IMDScore,IncDepriv,EmpDepriv,EduSklDepriv,HealthDepriv,CrimScore,HousServDepriv,LivEnvDepriv,ChildIncDepriv,OldPplIncDepriv,ChildYPDepriv,AdultSklDepriv,GeoBarDepriv,WiderBarDepriv,IndoorDepriv,OutdoorDepriv,Cluster
10.2,0.097,0.069,7.971,-0.27,-0.326,9.428,21.729,0.153,0.156,-0.364,0.227,-0.902,-0.136,0.216,0.332,2
19.816,0.159,0.113,34.545,-0.065,-0.704,24.402,11.283,0.211,0.235,0.612,0.404,-0.098,1.931,-0.11,-0.546,2
19.662,0.126,0.108,19.148,-0.261,-0.228,40.452,11.319,0.212,0.118,0.47,0.253,1.282,0.6,0.052,-1.457,2
17.387,0.125,0.092,19.781,-0.082,0.854,9.647,16.595,0.197,0.134,0.161,0.322,-0.028,-2.553,-0.336,0.524,2
18.125,0.091,0.111,26.04,0.11,0.238,25.055,12.315,0.123,0.099,0.334,0.363,0.209,1.275,-0.495,0.229,2
14.499,0.092,0.065,19.92,-0.773,0.294,29.586,19.121,0.155,0.096,0.438,0.273,0.669,0.566,0.395,-0.532,2
12.626,0.074,0.068,24.835,-0.489,-0.45,29.31,9.819,0.129,0.089,0.328,0.352,0.72,0.296,-0.896,0.239,2
14.073,0.119,0.094,11.095,0.166,-0.706,10.118,25.146,0.11,0.18,-0.273,0.268,-0.018,-2.3,0.55,0.001,2
16.618,0.091,0.09,17.654,-0.531,0.705,26.025,20.408,0.181,0.086,-0.265,0.347,-0.147,2.334,-0.204,0.747,2
17.355,0.136,0.093,27.516,-0.23,-0.005,24.149,11.235,0.151,0.218,0.429,0.363,0.383,0.455,-0.592,0.188,2
23.4,0.157,0.123,23.816,0.773,0.198,20.855,19.569,0.21,0.185,0.323,0.342,0.099,0.695,0.276,-0.047,2
25.392,0.175,0.177,35.027,-0.033,0.238,12.362,24.825,0.218,0.158,0.7,0.395,-0.268,-0.405,0.773,-1.72,2
19.404,0.14,0.103,10.416,0.287,0.447,26.53,18.519,0.218,0.174,-0.058,0.221,0.391,0.956,0.193,-0.008,2
10.028,0.089,0.077,15.161,-0.474,-0.389,12.515,11.162,0.11,0.127,0.176,0.257,0.036,-1.468,0.034,-1.373,2
12.014,0.08,0.079,13.98,-0.185,0.527,14.528,7.551,0.112,0.124,-0.081,0.284,0.322,-2.589,-0.626,-0.305,2
18.263,0.135,0.116,35.406,0.34,-0.592,7.117,8.976,0.213,0.154,0.637,0.408,-0.612,-1.273,-0.191,-1.016,2
18.282,0.105,0.077,27.626,-0.047,-0.002,27.685,30.123,0.182,0.127,0.615,0.334,0.357,1.331,0.274,1.011,2
18.002,0.127,0.11,37.018,-0.12,-0.204,15.635,12.334,0.197,0.16,0.23,0.475,-0.03,-0.208,-0.638,0.348,2
17.248,0.136,0.135,13.165,0.524,-0.203,11.463,3.35,0.139,0.164,-0.58,0.323,-0.013,-1.662,-1.416,-0.49,2
18.852,0.145,0.123,20.849,0.092,0.07,16.167,17.083,0.148,0.226,-0.032,0.357,-0.249,0.533,0.156,-0.124,2
17.787,0.112,0.151,23.966,0.252,-0.673,16.133,5.628,0.13,0.111,-0.297,0.412,0.248,-1.235,-0.902,-0.358,2
13.987,0.082,0.064,18.673,-0.207,0.329,18.542,28.969,0.115,0.138,0.511,0.233,0.17,-0.121,0.375,0.754,2
13.474,0.12,0.079,24.193,-0.529,-0.649,19.425,14.341,0.164,0.223,0.296,0.35,-0.5,1.675,-0.02,-0.17,2
19.33,0.099,0.095,33.174,0.36,-1.149,22.62,34.115,0.069,0.157,0.768,0.364,0.494,-0.448,1.128,-1.549,2
16.23,0.102,0.089,15.852,0.211,0.561,6.071,25.639,0.105,0.147,-0.322,0.333,-0.759,-1.373,0.046,0.929,2
25.841,0.14,0.157,28.738,1.071,0.611,8.562,12.836,0.164,0.155,0.457,0.372,-0.649,-0.7,-0.201,-0.064,2
12.205,0.1,0.082,18.697,-0.758,0.132,18.428,8.745,0.146,0.13,0.268,0.291,-0.726,1.727,-0.97,0.153,2
15.717,0.127,0.099,13.737,-0.213,-0.013,13.686,28.748,0.185,0.126,-0.168,0.292,-0.124,-0.449,0.891,-0.974,2
22.758,0.159,0.15,28.591,0.671,-0.686,3.056,24.31,0.161,0.191,0.51,0.362,-0.979,-2.435,0.212,0.594,2
19.015,0.128,0.115,27.381,-0.099,-0.592,24.292,23.691,0.171,0.129,0.865,0.274,0.728,-1.216,-0.097,0.921,2
15.654,0.135,0.091,27.53,-0.008,-0.474,17.574,8.016,0.172,0.242,0.594,0.336,-0.408,1.161,-0.421,-0.554,2
13.29,0.133,0.089,13.928,-0.549,0.097,13.485,12.951,0.176,0.193,0.082,0.256,-0.533,0.438,-0.549,0.346,2
9.638,0.079,0.059,23.629,-0.435,-0.253,12.405,7.097,0.107,0.11,0.494,0.31,-0.053,-1.109,-0.679,-0.328,2
19.133,0.174,0.119,16.217,0.257,0.128,10.842,16.409,0.259,0.172,0.372,0.228,-0.463,-0.377,0.315,-0.922,2
12.618,0.102,0.097,20.647,-0.204,-1.005,8.987,14.799,0.099,0.125,0.202,0.326,-0.299,-1.427,-0.44,0.445,2
19.108,0.135,0.107,33.212,-0.439,-0.427,30.56,11.984,0.178,0.156,0.748,0.369,0.935,-0.412,0.009,-0.778,2
19.369,0.101,0.099,19.298,0.155,0.91,10.207,32.256,0.171,0.072,0.015,0.336,-0.204,-1.311,0.607,0.638,2
16.614,0.107,0.098,27.486,0.025,-0.684,25.173,13.206,0.156,0.084,0.394,0.369,0.963,-3.145,-0.101,-0.182,2
18.761,0.154,0.131,23.452,-0.155,-0.528,10.471,26.074,0.218,0.163,0.016,0.378,-0.39,-0.643,0.725,-0.496,2
23.724,0.13,0.09,20.611,-0.176,-0.223,41.57,47.865,0.139,0.146,0.549,0.256,1.623,-0.665,1.585,-2.116,2
11.883,0.09,0.07,12.758,-0.136,0.62,4.356,11.268,0.093,0.145,-0.138,0.275,-1.25,-1.478,-0.151,-0.436,2
11.514,0.072,0.064,10.931,0.903,0.425,25.637,12.269,0.452,0.307,1.87,0.53,-0.035,2.02,0.116,-1.445,2
11.447,0.082,0.042,22.41,-0.417,-0.024,18.397,22.805,0.232,0.144,0.583,0.276,-0.823,1.809,0.34,0.214,2
21.179,0.167,0.146,18.429,0.542,-0.668,24.992,4.461,0.157,0.21,-0.127,0.343,0.36,0.738,-1.025,-0.496,2
17.189,0.108,0.104,15.436,-0.1,-0.173,31.522,16.12,0.157,0.099,0.2,0.256,0.751,0.679,0.343,-1.393,2
15.85,0.15,0.102,14.489,-0.309,0.036,20.915,10.806,0.265,0.153,-0.13,0.297,-0.212,1.499,-0.292,-0.229,2
11.797,0.084,0.082,13.004,1.177,0.084,26.28,24.807,0.441,0.1055,1.46,0.467,-0.035,2.129,0.64,-0.364,2
9.763,0.092,0.068,18.897,-0.499,-0.451,13.602,7.359,0.105,0.149,0.212,0.303,0.116,-1.45,-0.352,-0.989,2
20.2,0.141,0.13,16.01,0.585,-0.067,17.991,18.98,0.191,0.162,-0.213,0.325,0.047,0.175,-0.177,0.59,2
19.904,0.167,0.124,17.44,0.35,-0.274,5.693,28.931,0.252,0.17,0.147,0.295,-0.288,-3.854,0.832,-0.446,2
22.325,0.167,0.141,15.544,0.798,-0.145,10.683,24.613,0.18,0.258,0.018,0.29,-0.426,-0.504,0.513,0.028,2
21.446,0.142,0.109,31.528,0.054,0.057,23.683,27.238,0.207,0.182,0.842,0.332,0.262,0.788,0.607,0.113,2
13.389,0.109,0.096,25.675,-0.568,-0.041,12.431,6.078,0.163,0.112,0.475,0.337,-0.518,0.152,-0.627,-0.638,2
23.978,0.173,0.131,31.999,0.272,0.663,22.423,5.369,0.222,0.229,0.586,0.384,-0.702,2.463,-1.065,-0.275,2
17.544,0.14,0.102,26.044,-0.032,-0.185,22.828,8.928,0.181,0.192,0.227,0.378,-0.113,1.66,-0.437,-0.325,2
16.287,0.121,0.119,12.544,0.145,0.016,15.5,15.102,0.101,0.158,-0.158,0.274,0.179,-1.075,0.104,-0.332,2
14.931,0.088,0.091,11.122,0.421,0.297,7.696,24.258,0.095,0.145,-0.643,0.303,-0.092,-3.851,0.405,0.239,2
18.918,0.14,0.103,23.172,0.247,0.305,7.434,25.127,0.208,0.161,0.413,0.32,-0.357,-1.876,0.484,0.165,2
21.904,0.145,0.125,36.534,0.101,0.068,27.197,6.405,0.18,0.186,0.686,0.411,0.337,1.295,-0.523,-0.765,2
20.98,0.172,0.116,30.155,-0.019,0.187,15.193,20.513,0.254,0.186,0.837,0.318,-0.15,0.048,0.269,0.094,2
19.64,0.102,0.08,17.407,-0.634,-0.646,43.357,40.912,0.125,0.127,-0.015,0.318,1.942,-2.492,1.358,-1.67,2
13.177,0.113,0.088,25.65,-0.461,-0.649,16.612,9.486,0.154,0.149,0.113,0.388,0.107,-0.411,-0.51,-0.12,2
25.458,0.193,0.133,29.446,-0.406,-0.351,39.666,20.679,0.336,0.163,0.538,0.366,1.364,0.07,0.587,-1.65,2
20.693,0.118,0.086,30.338,-0.529,1.44,17.981,12.78,0.2,0.123,0.583,0.368,0.103,-0.019,-0.719,0.448,2
19.354,0.114,0.106,20.816,0.633,0.346,3.267,26.795,0.128,0.167,0.09,0.343,-0.627,-3.763,0.69,-0.202,2
18.393,0.099,0.117,13.934,-0.191,-0.488,37.793,19.9,0.113,0.117,0.009,0.269,1.618,-2.086,0.343,-0.183,2
16.354,0.117,0.093,27.723,-0.554,0.73,13.378,9.42,0.173,0.116,0.173,0.402,-0.902,0.831,-0.674,0.032,2
21.135,0.134,0.1,27.915,0.357,0.653,25.955,6.561,0.166,0.194,0.44,0.366,0.334,1.028,-0.878,-0.208,2
12.339,0.101,0.083,12.574,-0.078,-0.097,9.017,18.579,0.1,0.186,-0.22,0.283,-0.022,-3.183,-0.068,0.43,2
23.972,0.18,0.172,21.744,0.603,-0.106,19.191,7.634,0.209,0.202,0.206,0.337,0.211,-0.11,-0.538,-0.411,2
13.109,0.119,0.1,9.207,0.163,0.172,1.511,2.703,0.18,0.113,-0.175,0.221,-1.429,-2.986,-1.481,-0.625,2
20.685,0.197,0.164,27.401,-0.14,-0.754,11.253,6.137,0.27,0.156,0.286,0.384,-0.12,-1.253,-0.623,-0.629,2
14.746,0.103,0.073,24.772,-0.492,-0.137,27.428,14.976,0.216,0.067,0.661,0.29,0.67,0.039,-0.928,0.757,2
19.547,0.112,0.112,11.904,-0.464,0.578,34.792,21.841,0.115,0.119,0.106,0.213,1.354,-1.382,0.476,-0.282,2
12.003,0.076,0.085,21.748,0.17,-0.746,14.888,7.781,0.105,0.123,0.141,0.346,0.262,-1.836,-0.423,-0.615,2
24.777,0.144,0.163,41.283,0.307,-0.597,27.346,11.341,0.132,0.154,0.967,0.405,0.881,-1.106,-0.019,-0.897,2
19.164,0.14,0.126,27.093,0.296,-0.649,9.314,23.039,0.165,0.17,0.723,0.306,-0.099,-2.214,0.679,-1.256,2
17.904,0.154,0.085,42.78,-0.477,-0.724,21.198,13.125,0.237,0.134,1.047,0.402,0.513,-0.98,-0.095,-0.207,2
12.604,0.115,0.082,26.628,-0.648,-0.82,18.069,7.954,0.165,0.122,0.104,0.399,0.438,-1.693,-0.391,-0.648,2
21.943,0.182,0.144,17.732,0.735,-0.36,8.858,17.335,0.313,0.163,0.152,0.298,-0.334,-1.349,0.189,-0.171,2
22.135,0.167,0.13,34.507,-0.108,0.213,22.556,11.739,0.221,0.187,0.61,0.404,0.567,-0.837,0.063,-1.223,2
26.76,0.158,0.153,25.644,0.214,-0.357,25.794,49.465,0.186,0.156,0.478,0.336,0.676,-0.443,1.608,-1.083,2
15.672,0.119,0.106,13.103,0.296,-0.33,2.916,25.488,0.107,0.209,0.096,0.239,-0.716,-3.597,0.585,-0.048,2
15.767,0.097,0.089,22.012,0.533,-1.092,19.125,18.564,0.073,0.133,-0.457,0.406,0.575,-2.347,0.363,-0.521,2
24.637,0.103,0.101,31.816,-0.52,-1.274,25.872,47.285,0.143,0.107,0.79,0.346,1.886,-0.511,1.558,-1.475,2
17.992,0.128,0.124,26.93,0.301,-0.114,13.647,5.608,0.201,0.137,0.26,0.383,0.116,-1.434,-0.806,-0.468,2
23.194,0.151,0.123,35.486,0.22,0.44,19.471,20.979,0.247,0.182,1.02,0.335,-0.085,0.886,0.385,-0.136,2
15.494,0.1,0.116,22.33,-0.257,-0.013,22.015,5.316,0.149,0.116,-0.27,0.395,0.362,0.009,-0.747,-0.628,2
19.805,0.109,0.099,24.773,0.488,0.92,5.992,16.578,0.171,0.106,0.078,0.384,-0.529,-1.959,-0.23,0.42,2
14.914,0.15,0.096,9.806,-0.423,0.074,14.002,21.782,0.235,0.168,-0.273,0.247,-0.231,-0.051,0.634,-1.511,2
14.918,0.099,0.088,16.111,-0.207,0.748,13.565,14.129,0.137,0.099,0.112,0.283,-0.205,-0.235,0.055,-0.381,2
17.214,0.102,0.089,25.282,-0.007,0.28,21.118,21.651,0.094,0.168,0.262,0.366,0.354,-0.198,0.232,0.297,2
21.138,0.163,0.151,17.138,0.661,-0.095,14.191,8.087,0.192,0.215,-0.155,0.332,-0.182,-0.13,-0.501,-0.381,2
22.493,0.177,0.113,32.531,0.027,0.277,22.524,18.005,0.215,0.258,0.175,0.444,0.231,0.637,-0.102,0.416,2
16.925,0.147,0.114,23.013,-0.016,-0.244,10.429,13.999,0.174,0.185,0.411,0.318,-0.493,-0.435,0.191,-1.069,2
27.716,0.167,0.147,42.201,0.253,-0.572,39.627,13.982,0.145,0.263,1.09,0.388,0.961,1.59,0.236,-1.705,2
19.195,0.139,0.086,15.48,0.422,0.111,34.521,7.243,0.164,0.234,-0.096,0.306,0.84,0.995,-0.664,-0.318,2
10.903,0.069,0.075,24.755,-0.615,-0.266,3.756,21.133,0.102,0.074,0.71,0.278,-0.765,-2.515,-0.119,0.726,2
17.599,0.154,0.087,20.28,-0.681,0.332,23.896,21.179,0.248,0.178,0.207,0.32,0.0,1.612,0.05,0.535,2
13.449,0.117,0.069,10.41,-0.052,0.366,16.598,16.48,0.137,0.258,-0.438,0.276,-0.329,0.801,-0.077,0.215,2
24.158,0.18,0.164,34.699,0.585,-0.448,9.54,13.156,0.191,0.186,0.729,0.386,-0.408,-0.893,0.012,-0.464,2
20.527,0.108,0.102,16.399,-0.106,-0.625,44.16,25.99,0.13,0.124,0.063,0.294,1.76,-0.715,0.768,-0.816,2
10.8,0.085,0.067,11.495,-0.108,-0.292,9.418,24.947,0.074,0.239,0.137,0.194,-0.445,-0.842,0.418,0.29,2
14.915,0.125,0.092,9.377,-0.186,-0.02,30.718,1.231,0.175,0.259,-0.438,0.261,0.739,0.548,-1.541,-1.175,2
9.917,0.067,0.076,21.1,-0.686,-0.227,15.219,9.723,0.068,0.094,0.224,0.327,0.178,-1.164,-0.456,-0.154,2
23.026,0.16,0.158,26.565,0.732,-0.686,17.068,12.758,0.247,0.153,0.424,0.355,0.399,-1.849,-0.125,-0.212,2
19.906,0.181,0.118,16.334,-0.382,0.351,22.576,18.413,0.309,0.142,0.005,0.302,-0.422,2.156,0.3,-0.303,2
26.455,0.156,0.145,32.99,0.57,0.651,25.173,13.129,0.214,0.19,0.769,0.362,0.317,0.925,-0.96,0.604,2
23.75,0.172,0.15,17.552,0.529,0.25,8.572,32.723,0.228,0.181,-0.228,0.343,-0.773,-0.525,0.825,0.166,2
24.534,0.132,0.123,23.193,-0.019,1.253,29.481,13.076,0.149,0.174,-0.049,0.383,0.407,1.537,-0.613,0.408,2
10.731,0.092,0.082,18.408,-0.533,-0.246,9.347,10.916,0.121,0.14,0.143,0.308,-0.146,-1.934,-0.207,-0.379,2
19.904,0.12,0.133,14.684,0.548,-0.443,26.456,17.444,0.1,0.159,0.087,0.267,0.409,0.88,0.346,-0.743,2
22.279,0.15,0.148,21.201,1.006,-0.517,6.342,17.075,0.14,0.187,0.0,0.357,-0.286,-3.019,0.242,-0.37,2
20.296,0.122,0.129,35.999,-0.157,0.288,14.77,19.814,0.197,0.123,0.434,0.442,-0.076,-0.291,-0.377,0.847,2
10.094,0.066,0.057,17.18,-0.518,0.469,11.461,13.664,0.105,0.12,-0.047,0.32,-0.186,-0.918,-0.074,-0.163,2
25.961,0.162,0.142,25.641,0.475,0.918,15.049,26.103,0.178,0.176,0.203,0.377,-0.224,0.201,0.545,0.141,2
23.56,0.205,0.156,29.292,-0.13,0.186,18.485,11.364,0.305,0.148,0.643,0.347,0.075,0.208,-0.134,-0.457,2
24.942,0.156,0.144,35.591,-0.183,0.499,22.207,28.956,0.18,0.199,0.412,0.442,0.408,-0.146,0.721,0.013,2
15.794,0.12,0.091,31.208,-0.372,-0.423,16.862,19.454,0.169,0.171,0.724,0.352,-0.395,0.971,0.467,-0.845,2
10.15,0.092,0.054,16.329,-0.553,-0.258,15.693,18.53,0.145,0.113,0.165,0.277,0.038,-0.416,0.013,0.317,2
21.974,0.136,0.155,27.64,0.669,-0.088,8.125,14.703,0.142,0.188,0.08,0.411,-0.559,-1.019,-0.164,0.127,2
18.538,0.114,0.105,21.667,0.128,0.283,18.125,26.552,0.153,0.145,0.261,0.328,0.418,-1.518,0.734,-0.434,2
13.463,0.099,0.062,22.652,-0.683,0.012,21.647,24.196,0.161,0.125,0.422,0.312,0.105,0.854,-0.04,0.9,2
18.885,0.141,0.102,28.673,0.036,-0.327,30.319,2.698,0.219,0.125,0.614,0.345,0.829,0.062,-0.921,-1.425,2
22.281,0.134,0.122,22.105,0.37,0.606,19.552,26.045,0.167,0.132,0.106,0.354,-0.146,1.051,0.468,0.301,2
15.737,0.13,0.102,24.555,-0.941,0.116,23.234,6.264,0.253,0.108,0.431,0.332,0.117,1.172,-1.361,-0.003,2
14.51,0.092,0.107,18.347,-0.037,-0.543,19.997,15.708,0.142,0.105,-0.117,0.34,0.19,0.188,0.059,-0.113,2
10.272,0.077,0.052,24.002,-0.566,-0.649,22.799,10.421,0.103,0.124,0.445,0.324,0.594,-0.916,-0.049,-1.155,2
11.731,0.073,0.096,14.705,0.157,-0.396,14.163,7.401,0.133,0.07,-0.335,0.321,0.257,-2.156,-0.941,-0.034,2
16.514,0.096,0.109,13.052,0.337,-0.05,26.026,11.157,0.099,0.12,-0.116,0.276,0.645,-0.215,-0.079,-0.681,2
20.722,0.186,0.137,16.181,0.175,-0.346,23.036,13.161,0.213,0.21,0.142,0.279,0.221,0.791,-0.071,-0.256,2
16.877,0.099,0.105,14.349,-0.422,-0.059,37.113,10.884,0.114,0.109,-0.152,0.298,1.364,-0.643,0.027,-1.597,2
19.846,0.153,0.116,27.862,0.158,-1.055,17.898,27.541,0.149,0.221,0.455,0.363,-0.33,1.089,0.872,-1.393,2
19.987,0.133,0.137,11.982,0.167,-0.093,9.086,41.978,0.132,0.148,-0.175,0.268,-0.065,-2.637,1.301,-0.382,2
16.246,0.122,0.092,18.159,0.004,0.002,24.242,13.165,0.187,0.125,0.387,0.258,0.017,1.643,-0.255,0.06,2
14.056,0.113,0.113,14.277,-0.063,-0.364,15.544,9.035,0.162,0.135,-0.156,0.298,0.321,-1.974,-0.174,-1.089,2
13.971,0.094,0.112,17.554,-0.394,0.197,11.32,13.903,0.118,0.095,0.135,0.299,-0.923,0.367,-0.14,-0.012,2
22.944,0.155,0.119,18.495,0.856,0.615,15.071,17.956,0.23,0.211,-0.22,0.352,-0.177,0.092,0.312,-0.446,2
16.058,0.123,0.096,22.553,-0.4,-0.268,30.347,3.552,0.211,0.082,0.392,0.316,0.68,0.698,-0.873,-1.004,2
15.089,0.109,0.123,13.796,0.456,-0.553,6.56,9.186,0.102,0.156,-0.674,0.336,-1.082,-0.815,-0.507,-0.171,2
20.824,0.104,0.093,18.511,-0.629,-0.002,41.586,38.347,0.163,0.113,0.341,0.274,1.432,0.262,1.252,-1.085,2
18.238,0.15,0.135,27.761,-0.138,-0.26,17.364,1.691,0.185,0.158,0.382,0.374,0.252,-0.826,-1.399,-1.057,2
11.549,0.098,0.068,11.325,-0.208,-0.573,23.092,15.588,0.146,0.158,-0.387,0.284,-0.134,1.749,-0.407,0.49,2
19.811,0.14,0.124,21.115,0.061,0.211,12.808,28.682,0.168,0.151,0.447,0.287,-0.427,0.087,0.802,-0.348,2
17.982,0.121,0.092,25.919,-0.077,-0.364,30.479,16.01,0.143,0.196,0.555,0.325,0.839,0.054,0.224,-0.546,2
15.007,0.067,0.096,11.317,0.114,1.054,9.642,12.487,0.115,0.057,-0.352,0.28,0.079,-4.079,-0.5,0.252,2
17.112,0.129,0.095,10.163,-0.299,0.863,19.947,17.412,0.19,0.124,-0.055,0.215,0.11,0.455,-0.147,0.409,2
11.701,0.103,0.095,10.065,0.26,-1.51,4.376,11.897,0.098,0.15,-0.626,0.288,-0.985,-1.732,-0.644,0.304,2
20.876,0.155,0.14,24.123,-0.139,0.532,15.189,14.81,0.183,0.201,0.508,0.314,-0.058,-0.233,0.07,-0.29,2
11.732,0.093,0.093,16.493,-0.059,-0.674,14.181,7.3,0.132,0.085,0.024,0.302,-0.142,-0.252,-0.919,-0.064,2
15.186,0.114,0.104,22.591,-0.604,0.139,23.032,4.398,0.136,0.134,0.716,0.243,0.405,0.085,-1.432,-0.267,2
23.294,0.162,0.12,20.875,0.675,-0.276,5.601,45.509,0.179,0.242,0.123,0.339,-0.827,-1.444,1.432,-0.566,2
16.276,0.112,0.115,8.111,0.212,-0.046,18.558,22.105,0.138,0.133,-0.684,0.265,0.458,-1.633,0.565,-0.615,2
21.963,0.162,0.124,26.885,0.266,0.359,17.883,18.056,0.249,0.178,0.38,0.365,0.276,-0.791,0.388,-0.802,2
11.193,0.059,0.067,29.264,-0.561,-0.032,17.58,11.729,0.063,0.077,0.933,0.282,-0.292,0.94,-0.005,-0.81,2
19.339,0.165,0.119,31.144,-0.249,0.385,13.432,6.138,0.249,0.147,0.553,0.38,-0.14,-0.477,-0.665,-0.554,2
25.504,0.15,0.175,26.719,1.03,0.101,6.416,15.274,0.21,0.18,0.16,0.393,-0.949,-0.983,-0.262,0.315,2
12.042,0.099,0.067,10.561,-0.909,0.435,24.525,11.372,0.187,0.099,-0.782,0.305,0.014,1.703,-0.923,0.421,2
11.143,0.097,0.088,15.476,-0.701,-0.423,20.267,6.134,0.1,0.15,0.088,0.278,0.252,0.008,-0.751,-0.421,2
10.521,0.07,0.077,18.688,-0.856,0.028,18.987,10.161,0.109,0.093,-0.12,0.344,-0.05,0.688,-0.399,-0.17,2
16.755,0.137,0.133,15.522,-0.01,-0.873,14.725,19.161,0.227,0.121,-0.052,0.3,-0.255,0.193,0.404,-0.564,2
20.936,0.18,0.095,23.094,-0.529,0.661,24.452,22.138,0.277,0.215,0.11,0.363,-0.037,1.8,0.255,0.31,2
21.89,0.153,0.125,17.233,0.554,0.492,25.734,6.719,0.195,0.368,0.179,0.287,0.52,0.276,-0.888,-0.173,2
18.45,0.108,0.085,26.91,0.226,-1.326,36.966,12.861,0.126,0.192,0.767,0.294,1.07,0.591,0.166,-1.728,2
18.652,0.154,0.111,28.038,0.19,-0.669,14.756,18.242,0.152,0.244,0.539,0.351,-1.087,1.247,0.264,-0.223,2
13.368,0.091,0.085,15.116,0.077,0.234,15.303,11.527,0.118,0.076,-0.139,0.306,0.075,-0.664,-0.089,-0.546,2
26.08,0.129,0.096,21.499,0.325,1.761,29.024,14.786,0.141,0.246,0.014,0.359,-0.226,2.987,-0.369,0.374,2
16.938,0.153,0.12,22.084,-0.104,-0.473,4.649,17.568,0.201,0.159,0.327,0.323,-0.68,-2.202,0.381,-0.948,2
20.098,0.144,0.112,21.26,0.451,-0.286,21.511,22.669,0.077,0.229,0.364,0.306,0.437,-0.489,0.123,0.571,2
8.893,0.077,0.065,20.675,-0.518,-0.477,9.299,8.478,0.128,0.082,0.286,0.312,-0.475,-0.812,-0.915,0.09,2
