IMDScore,IncDepriv,EmpDepriv,EduSklDepriv,HealthDepriv,CrimScore,HousServDepriv,LivEnvDepriv,ChildIncDepriv,OldPplIncDepriv,ChildYPDepriv,AdultSklDepriv,GeoBarDepriv,WiderBarDepriv,IndoorDepriv,OutdoorDepriv
30.861,0.211,0.183,22.901,1.176,-0.577,27.459,21.808,0.325,0.225,0.444,0.311,0.485,0.814,0.318,0.14
12.912,0.086,0.079,12.418,-0.336,-0.645,11.462,41.708,0.098,0.083,0.001,0.246,-0.073,-1.371,1.304,-0.464
34.5,0.195,0.168,30.086,0.277,1.217,14.78,59.047,0.211,0.256,0.466,0.384,-1.123,1.265,1.488,0.885
15.833,0.123,0.098,11.627,0.135,0.134,18.346,17.49,0.175,0.139,-0.381,0.288,-0.106,0.691,0.077,0.094
16.9995,0.127,0.1,53.656,1.731,1.295,8.382,26.154,0.429,0.144,1.204,0.466,-1.836,-0.052,0.446,0.362
32.366,0.199,0.179,36.18,0.662,0.639,22.314,32.415,0.161,0.251,1.007,0.345,0.37,0.052,1.045,-1.091
22.3,0.308,0.1175,32.466,1.911,0.964,16.547,33.611,0.327,0.36,0.186,0.443,-0.773,1.401,0.445,1.034
13.404,0.109,0.092,15.437,-0.611,-0.057,7.426,27.617,0.142,0.147,-0.364,0.332,-0.214,-2.657,0.431,0.534
8.798,0.07,0.065,20.404,-0.109,-1.534,8.797,9.193,0.083,0.095,-0.007,0.35,-0.379,-1.236,-0.226,-0.765
4.677,0.038,0.05,9.625,-0.583,-0.719,9.091,9.481,0.052,0.051,-0.263,0.243,-0.18,-1.874,-0.408,-0.268
29.238,0.208,0.15,41.418,1.073,0.383,10.42,11.554,0.321,0.212,0.843,0.429,-0.321,-0.844,-0.654,0.273
3.531,0.036,0.036,1.502,-0.853,-0.757,13.677,14.772,0.035,0.05,-1.094,0.127,0.266,-2.556,-0.333,0.34
19.701,0.142,0.117,21.701,0.213,0.073,20.251,19.553,0.198,0.156,-0.013,0.364,0.198,0.219,-0.197,0.663
27.786,0.193,0.132,14.169,0.902,0.614,33.139,16.279,0.167,0.177,-0.025,0.278,-0.024,3.288,-0.755,0.794
26.712,0.107,0.074,36.543,1.008,0.828,30.507,32.789,0.1815,0.241,1.348,0.247,-0.224,3.226,0.448,0.959
5.083,0.025,0.031,1.777,-1.335,-1.242,33.482,6.038,0.033,0.053,-1.224,0.163,1.387,-2.169,-0.694,-0.532
5.458,0.037,0.042,0.996,-0.756,0.016,11.285,22.902,0.044,0.056,-1.695,0.153,0.007,-1.845,0.207,0.467
41.509,0.285,0.206,46.471,1.138,1.366,10.538,17.322,0.397,0.265,1.365,0.365,-1.193,0.345,0.178,-0.145
21.43,0.146,0.151,23.722,0.589,-0.183,14.027,13.586,0.147,0.193,0.026,0.38,-0.188,-0.16,-0.67,0.494
5.402,0.05,0.066,11.727,-1.5,-0.557,11.485,4.878,0.046,0.067,-0.556,0.304,-0.04,-1.52,-0.842,-0.603
25.504,0.15,0.175,26.719,1.03,0.101,6.416,15.274,0.21,0.18,0.16,0.393,-0.949,-0.983,-0.262,0.315
39.38,0.184,0.205,30.186,1.532,1.025,5.123,52.556,0.202,0.217,0.566,0.369,-1.431,-1.096,1.602,-0.184
2.678,0.031,0.032,0.505,-1.275,-0.639,9.452,15.328,0.009,0.094,-1.892,0.122,-0.836,-0.192,0.11,-0.302
20.15,0.155,0.11,28.125,0.341,0.081,20.513,9.471,0.245,0.222,0.498,0.359,0.199,0.281,-0.663,0.028
26.317,0.167,0.147,50.529,0.41,0.145,15.882,16.287,0.221,0.199,1.235,0.433,-0.55,0.998,0.172,-0.304
23.117,0.139,0.119,25.21,-0.058,0.363,23.046,41.816,0.199,0.164,0.493,0.329,0.111,1.148,1.19,0.098
6.075,0.033,0.04,0.604,-0.959,-0.782,23.389,27.71,0.028,0.05,-1.54,0.109,0.652,-1.066,0.166,0.951
15.409,0.102,0.081,25.191,0.067,-0.202,8.68,29.629,0.095,0.196,0.556,0.317,-0.245,-1.773,0.949,-1.24
22.682,0.089,0.065,17.754,-0.357,-1.112,46.361,23.8635,0.057,0.124,0.189,0.292,1.918,-0.934,2.266,-1.971
23.597,0.176,0.116,38.117,-0.09,0.575,13.083,27.371,0.292,0.14,0.54,0.446,-0.188,-0.417,0.214,0.862
17.038,0.121,0.105,25.775,0.316,0.004,4.688,14.498,0.172,0.158,0.113,0.389,-0.609,-2.413,-0.579,0.523
45.483,0.327,0.209,35.991,1.192,0.844,28.721,40.671,0.341,0.2745,0.591,0.42,-0.782,3.575,0.798,0.983
30.484,0.182,0.237,27.06,1.056,-0.09,18.139,4.413,0.237,0.187,0.332,0.374,0.379,-1.268,-2.019,-0.162
21.371,0.173,0.102,17.845,-0.333,0.47,26.381,30.345,0.289,0.176,-0.187,0.343,-1.184,3.39,0.214,1.108
28.606,0.227,0.171,20.868,0.242,0.616,25.867,20.258,0.298,0.175,0.084,0.344,-0.336,2.634,0.151,0.288
19.944,0.131,0.138,20.631,0.512,0.124,17.6,8.394,0.141,0.153,0.018,0.349,0.163,-0.347,-0.358,-0.611
4.299,0.033,0.064,3.852,-0.256,-1.856,11.807,1.835,0.023,0.056,-1.584,0.231,0.144,-2.58,-1.525,-0.89
21.843,0.135,0.123,17.24,0.039,0.455,12.759,46.369,0.208,0.134,0.146,0.293,-0.985,0.747,1.276,0.326
22.606,0.04,0.039,7.982,0.636,1.633,29.071,51.792,0.051,0.101,-0.023,0.103,0.019,2.55,1.069,1.318
13.074,0.069,0.077,10.026,-0.198,0.159,11.288,40.335,0.093,0.099,0.026,0.189,-1.311,0.574,0.883,0.778
6.14,0.052,0.06,10.313,-0.785,-0.542,16.65,6.102,0.076,0.044,-0.185,0.243,0.214,-0.862,-0.454,-1.154
10.747,0.071,0.085,7.067,-0.579,0.234,23.759,7.094,0.119,0.056,-0.407,0.216,0.467,-0.005,-0.892,-0.112
20.424,0.118,0.082,6.733,0.031,-0.18,31.518,56.159,0.106,0.389,-0.31,0.188,-0.465,3.752,1.002,1.853
19.694,0.13,0.133,14.799,0.593,0.408,12.396,12.857,0.176,0.133,-0.255,0.315,-0.362,-0.161,-0.303,0.083
8.439,0.074,0.067,12.956,-0.473,-0.462,17.688,5.184,0.067,0.114,0.085,0.238,0.3,-0.968,-0.516,-1.468
44.888,0.271,0.217,46.202,1.188,0.813,32.821,37.748,0.314,0.33,0.805,0.475,-0.402,3.888,0.671,0.992
2.317,0.035,0.041,3.494,-1.395,-0.428,5.601,4.336,0.032,0.057,-0.935,0.195,-0.269,-4.484,-0.792,-0.859
20.215,0.095,0.099,10.967,0.61,0.495,23.314,36.718,0.166,0.249,0.043,0.209,-0.437,2.321,0.934,0.309
7.718,0.046,0.06,2.259,-0.501,-1.252,30.193,12.734,0.083,0.025,-0.991,0.158,1.31,-4.781,-0.395,0.171
33.686,0.207,0.152,9.824,0.676,1.378,35.18,34.84,0.242,0.287,0.008,0.189,-0.628,4.482,0.474,1.09
18.84,0.141,0.152,6.911,0.66,0.032,7.916,10.301,0.081,0.183,-0.713,0.247,-0.759,-0.737,-0.614,0.095
7.696,0.041,0.051,3.581,-1.682,-0.773,32.514,20.002,0.029,0.057,-0.962,0.2,1.273,-1.747,0.531,-1.176
8.34,0.067,0.077,7.707,0.18,-1.448,10.359,6.931,0.028,0.111,-0.805,0.267,-0.112,-1.635,-1.252,0.048
21.901,0.116,0.111,23.337,0.003,0.243,25.487,42.56,0.162,0.162,-0.139,0.393,0.047,1.811,0.829,1.077
41.263,0.271,0.204,3.36,0.526,0.684,44.781,53.7835,0.297,0.13,-0.848,0.182,-1.142,3.494,1.116,1.908
11.896,0.069,0.055,9.712,-0.261,0.226,27.196,20.978,0.068,0.121,-0.451,0.268,0.867,-1.072,0.374,-0.105
34.885,0.214,0.178,21.872,0.402,0.372,20.397,36.522,0.214,0.228,1.199,0.513,-0.391,1.704,0.511,1.164
34.436,0.22,0.16,28.816,0.22,0.297,35.869,30.038,0.249,0.316,0.53,0.361,-0.44,4.394,0.36,0.871
39.857,0.268,0.224,18.014,1.019,0.452,20.694,13.075,0.385,0.235,1.211,0.492,-0.284,1.583,-0.08,-0.248
18.037,0.163,0.106,26.129,-0.325,-0.254,25.061,6.705,0.265,0.144,0.14,0.39,0.369,0.716,-0.566,-0.582
14.823,0.033,0.028,3.703,-1.109,0.19,22.209,43.804,0.03,0.051,-0.764,0.182,0.473,-1.769,1.409,-0.822
17.253,0.088,0.061,16.632,0.023,0.469,16.661,50.314,0.142,0.149,0.354,0.24,-1.249,1.698,1.144,1.037
18.839,0.125,0.12,17.023,0.678,-0.002,14.947,14.295,0.193,0.106,0.008,0.31,0.28,-1.943,-0.339,0.292
30.036,0.226,0.169,23.767,0.658,0.517,23.996,23.702,0.323,0.24,0.047,0.378,-0.872,2.852,-0.061,0.884
25.251,0.313,0.225,40.92,1.199,0.646,34.544,59.819,0.309,0.209,0.557,0.467,-0.254,3.959,1.489,0.941
16.771,0.161,0.116,21.67,-0.089,0.019,10.579,3.955,0.2,0.164,0.258,0.329,-0.102,-1.593,-1.018,-0.634
15.814,0.107,0.102,21.728,-0.591,-0.29,30.862,8.26,0.175,0.088,0.256,0.33,1.061,-1.037,-0.207,-1.34
23.546,0.158,0.11,5.047,0.914,-0.072,32.104,30.907,0.299,0.267,-0.612,0.199,-0.522,3.914,0.019,1.382
23.484,0.184,0.143,22.592,0.843,-0.164,9.735,17.061,0.223,0.275,0.285,0.334,-1.144,0.121,0.062,0.067
12.698,0.099,0.11,8.57,0.106,-0.815,10.596,16.199,0.14,0.105,-0.366,0.238,0.114,-3.313,-0.617,0.704
13.435,0.102,0.084,7.994,-0.085,0.071,13.826,27.717,0.113,0.153,-0.729,0.266,-0.188,-0.209,0.539,0.336
14.188,0.037,0.048,10.044,-1.815,-0.253,46.531,36.605,0.047,0.051,-0.188,0.239,0.613,-2.889,1.211,-1.468
4.542,0.053,0.051,4.552,-1.086,-0.866,17.666,7.159,0.074,0.068,-0.707,0.199,0.54,-3.028,-0.293,-1.541
8.907,0.068,0.063,4.233,-0.425,-1.384,32.783,4.334,0.084,0.075,-1.364,0.233,1.399,-2.833,-0.864,-0.721
34.136,0.235,0.18,32.24,1.004,0.195,19.153,40.897,0.257,0.319,-0.099,0.468,-1.035,2.08,1.075,0.36
5.821,0.045,0.05,17.813,-0.935,-0.354,6.175,9.124,0.073,0.059,-0.198,0.343,-0.504,-1.949,-0.974,0.198
38.873,0.295,0.193,28.205,0.154,0.467,33.278,26.283,0.34,0.383,0.219,0.4,-0.057,5.373,0.16,0.843
13.908,0.084,0.093,6.391,0.216,0.551,14.941,14.736,0.115,0.105,-0.836,0.247,0.433,-4.588,-0.044,-0.061
12.836,0.085,0.112,13.741,0.107,-0.527,6.759,14.332,0.084,0.104,-0.185,0.294,-0.567,-1.51,-0.191,0.12
5.523,0.054,0.049,3.022,-0.526,-0.869,21.749,6.837,0.062,0.053,-1.125,0.197,0.641,-1.612,-0.66,-0.402
4.122,0.042,0.046,5.766,-1.425,-0.3,14.802,7.108,0.052,0.044,-0.375,0.173,0.1,-0.932,-1.034,-0.02
14.55,0.097,0.095,17.493,0.142,-0.138,17.252,15.232,0.118,0.147,0.012,0.315,-0.19,0.65,0.285,-1.257
35.048,0.237,0.188,50.717,0.987,0.527,17.453,15.346,0.344,0.271,0.568,0.531,-0.299,0.928,0.022,-0.093
26.121,0.152,0.16,24.906,1.088,0.311,13.137,19.185,0.172,0.178,0.475,0.329,-0.188,-0.404,0.282,-0.12
20.826,0.111,0.086,2.536,-0.645,1.574,28.783,31.727,0.137,0.17,-1.13,0.184,0.156,2.141,-0.074,1.546
29.401,0.186,0.13,48.899,0.592,0.003,11.798,46.453,0.308,0.19,1.435,0.372,-0.103,-1.116,1.399,-0.146
9.237,0.075,0.078,7.273,-0.671,-0.436,13.841,22.232,0.05,0.107,-0.294,0.2,-0.452,0.387,0.595,-0.778
21.198,0.127,0.116,16.758,0.295,1.093,14.662,17.986,0.133,0.171,-0.417,0.35,-0.755,0.971,0.327,-0.507
13.088,0.076,0.06,16.849,-1.259,-0.648,36.507,24.448,0.106,0.094,-0.104,0.323,1.551,-2.094,0.711,-0.893
49.377,0.266,0.228,27.902,1.241,1.306,10.59,60.043,0.317,0.249,1.362,0.458,-0.852,0.121,1.658,0.496
37.144,0.247,0.221,49.061,0.939,0.374,22.523,13.472,0.27,0.285,0.986,0.469,-0.039,1.427,-0.473,0.337
6.426,0.053,0.043,8.938,-0.898,-0.736,26.658,5.413,0.088,0.07,-0.093,0.195,0.931,-1.746,-0.518,-1.246
8.769,0.075,0.091,2.421,0.097,-0.683,8.726,5.714,0.058,0.11,-1.087,0.177,-0.355,-1.339,-0.952,-0.3
28.818,0.191,0.161,24.754,1.112,0.426,21.138,15.628,0.247,0.25,0.513,0.32,0.527,-1.082,0.129,-0.307
5.024,0.03,0.034,6.237,-1.413,-1.386,30.03,6.258,0.04,0.056,-0.399,0.194,1.256,-3.191,-1.73,0.067
2.472,0.02,0.018,0.998,-2.291,-0.462,19.927,4.291,0.035,0.02,-1.192,0.096,0.58,-1.964,-1.099,-0.469
4.754,0.041,0.064,1.903,-0.71,-0.999,11.914,13.866,0.036,0.047,-1.295,0.174,0.179,-2.897,-0.409,0.318
37.72,0.202,0.169,34.136,0.762,1.32,13.696,59.486,0.288,0.236,0.591,0.403,0.048,-1.079,1.412,1.117
22.228,0.17,0.129,23.695,0.098,0.191,29.246,8.931,0.264,0.163,0.386,0.331,0.807,-0.136,-0.258,-0.741
9.168,0.026,0.025,12.529,-2.216,-1.351,41.52,17.055,0.028,0.087,0.211,0.196,1.818,-2.223,0.405,-1.712
6.054,0.046,0.042,0.619,-0.927,0.292,16.414,16.476,0.054,0.084,-1.641,0.121,-0.957,1.522,-0.381,0.551
10.323,0.065,0.072,19.876,-0.594,-0.232,19.994,11.048,0.103,0.062,0.119,0.329,0.639,-2.526,-0.608,0.179
7.638,0.054,0.036,6.489,-1.731,-0.353,34.55,7.331,0.064,0.094,-0.461,0.211,1.172,-0.44,-1.337,0.128
6.628,0.049,0.046,7.064,-0.982,-1.432,31.846,4.067,0.023,0.108,-0.328,0.201,0.809,0.515,-0.87,-0.803
21.701,0.155,0.167,19.33,0.672,-0.283,16.06,5.457,0.225,0.169,-0.275,0.366,0.137,-0.694,-1.168,-0.199
12.006,0.109,0.075,11.069,-0.813,-0.275,30.117,4.048,0.141,0.202,-0.43,0.285,0.914,-0.43,-1.288,-0.397
17.478,0.13,0.134,14.491,-0.163,-0.25,17.708,23.327,0.164,0.124,-0.04,0.285,0.54,-2.979,0.24,0.46
5.103,0.038,0.046,3.955,-0.418,-0.418,17.636,8.669,0.044,0.048,-0.873,0.202,0.533,-2.939,-0.468,-0.323
11.91,0.082,0.056,14.851,-0.637,0.773,21.994,7.235,0.122,0.127,-0.227,0.313,0.281,0.325,-1.146,0.047
30.343,0.209,0.164,37.069,0.796,0.232,15.021,32.621,0.207,0.381,0.789,0.399,-0.61,0.891,0.447,0.945
17.445,0.083,0.101,23.62,0.186,0.422,22.241,15.658,0.079,0.096,0.307,0.342,0.156,0.831,0.109,-0.237
9.346,0.062,0.062,3.745,-0.169,-0.507,21.088,24.626,0.064,0.088,-1.371,0.224,0.779,-4.178,0.298,0.488
30.196,0.236,0.175,45.194,0.205,0.283,27.077,5.177,0.326,0.197,1.112,0.411,0.383,1.11,-0.678,-0.818
14.942,0.128,0.087,20.429,0.003,0.135,18.442,3.36,0.178,0.156,0.34,0.3,-0.33,1.208,-1.163,-0.652
19.258,0.129,0.118,17.877,0.291,0.322,18.918,19.044,0.13,0.22,0.135,0.303,-1.058,2.049,-0.035,0.433
12.622,0.096,0.095,5.502,-0.529,0.366,6.951,26.208,0.081,0.149,-0.871,0.234,-0.794,-0.998,0.743,-0.565
17.905,0.143,0.125,20.158,0.108,0.008,17.369,7.833,0.204,0.144,-0.046,0.352,-0.041,0.279,-0.792,-0.081
7.194,0.072,0.058,4.579,-1.244,-1.043,25.554,10.837,0.153,0.056,-1.144,0.232,0.948,-2.545,0.034,-1.982
6.984,0.058,0.077,5.174,-0.492,-0.153,12.203,4.592,0.04,0.079,-1.364,0.25,-0.014,-1.355,-1.449,-0.23
46.118,0.331,0.214,17.95,0.569,0.337,19.663,59.176,0.379,0.398,1.239,0.505,-1.385,2.305,1.389,1.155
22.558,0.131,0.106,25.627,-0.283,0.786,32.063,22.818,0.18,0.131,0.308,0.363,-0.159,3.377,-0.064,0.815
41.763,0.268,0.251,49.043,1.383,0.368,12.951,20.277,0.328,0.305,1.242,0.418,-0.004,-1.116,0.175,0.245
15.02,0.09,0.086,13.845,-0.297,-1.326,22.655,43.058,0.103,0.138,-0.061,0.279,0.639,-1.251,1.426,-2.122
24.429,0.115,0.097,11.498,0.009,1.152,20.591,59.209,0.161,0.231,0.257,0.116,-0.962,2.312,1.042,2.019
3.67,0.015,0.026,1.25,-1.535,-1.414,28.426,5.966,0.013,0.032,-1.384,0.15,1.121,-2.721,-0.451,-1.252
33.244,0.219,0.189,27.942,0.432,-0.6,41.304,33.626,0.288,0.184,0.468,0.362,1.686,-1.19,1.04,-0.603
27.857,0.152,0.128,32.241,1.135,0.388,7.867,40.316,0.176,0.231,0.504,0.399,-0.345,-1.724,1.171,-0.022
10.398,0.075,0.058,21.278,-0.717,-2.014,29.445,7.626,0.12,0.058,0.721,0.216,1.15,-2.289,-1.015,0.035
5.128,0.056,0.057,5.892,-0.516,-0.87,14.149,4.297,0.059,0.083,-0.524,0.207,0.311,-2.728,-1.014,-0.547
18.013,0.13,0.1,5.031,-0.321,0.603,26.334,28.898,0.209,0.169,-0.629,0.201,-1.115,3.353,0.138,1.089
2.683,0.027,0.031,2.324,-1.93,-0.372,15.932,6.903,0.035,0.036,-1.674,0.199,0.22,-1.143,-1.17,0.014
15.662,0.126,0.082,24.962,0.382,0.033,13.121,4.906,0.118,0.268,0.647,0.296,-0.065,-0.818,-0.711,-0.833
20.33,0.124,0.098,9.286,-0.165,1.112,11.559,42.476,0.139,0.18,-0.638,0.278,-0.577,0.027,0.609,1.477
4.723,0.034,0.051,8.714,-1.129,-1.226,22.92,3.242,0.067,0.023,-0.417,0.247,0.784,-2.291,-1.294,-0.582
18.0,0.06,0.062,12.948,-1.102,-0.975,20.6805,48.802,0.053,0.079,-0.087,0.27,0.425,-2.869,1.594,-1.191
8.568,0.054,0.056,8.431,-0.767,-0.576,33.888,2.116,0.05,0.076,-0.553,0.258,1.355,-1.778,-1.144,-1.192
15.5,0.1,0.1,5.455,-0.239,0.913,13.505,21.349,0.113,0.1,-0.412,0.172,-0.87,0.834,0.216,0.291
14.283,0.091,0.09,13.368,-0.025,-0.778,29.182,15.571,0.08,0.142,-0.394,0.311,1.22,-3.502,0.256,-0.827
4.138,0.051,0.05,1.57,-1.02,-0.915,14.871,11.788,0.049,0.077,-1.431,0.168,0.016,-0.571,-0.072,-0.538
4.442,0.039,0.059,4.922,-1.125,-0.791,17.677,6.626,0.041,0.041,-0.472,0.167,0.387,-1.501,-0.932,-0.157
13.706,0.12,0.072,8.143,-0.155,-0.296,13.451,37.251,0.09,0.254,0.003,0.084,-1.705,1.136,0.44,1.329
43.1,0.237,0.244,43.871,1.036,1.319,13.727,36.024,0.26,0.296,1.227,0.372,-0.984,0.957,0.716,0.761
3.938,0.043,0.048,8.376,-1.031,-0.389,6.626,5.615,0.064,0.043,-0.287,0.223,-0.172,-4.238,-0.887,-0.373
9.738,0.292,0.07,6.974,1.013,1.386,36.992,13.796,0.34,0.273,1.146,0.515,0.415,2.876,-0.004,-0.296
17.213,0.127,0.126,15.22,0.481,-0.836,18.318,11.172,0.095,0.181,-0.065,0.298,0.604,-3.614,-0.121,-0.544
7.284,0.069,0.049,9.054,-0.561,-0.002,8.762,14.246,0.084,0.139,-0.315,0.24,-0.535,-0.855,0.014,-0.254
18.655,0.145,0.125,23.213,0.137,-0.089,16.739,11.92,0.209,0.146,0.471,0.31,0.31,-1.362,-0.325,-0.012
5.821,0.057,0.061,9.773,-0.427,-1.179,11.32,6.382,0.048,0.078,-0.384,0.261,-0.011,-1.735,-1.132,-0.074
11.613,0.07,0.077,17.807,-0.035,-0.146,14.21,15.934,0.064,0.1,0.149,0.3,0.053,-0.924,0.33,-1.355
11.732,0.093,0.093,16.493,-0.059,-0.674,14.181,7.3,0.132,0.085,0.024,0.302,-0.142,-0.252,-0.919,-0.064
34.234,0.192,0.137,50.553,0.413,0.299,22.539,23.459,0.243,0.263,1.202,0.44,0.371,0.104,1.935,-0.002
5.245,0.024,0.046,4.36,-0.85,-0.602,26.003,6.78,0.024,0.056,-1.167,0.229,0.993,-2.912,-0.88,-0.17
20.879,0.104,0.081,8.98,-0.055,0.596,20.198,18.322000000000003,0.141,0.171,-0.127,0.205,0.017,0.792,1.757,0.597
16.931,0.118,0.099,19.989,-0.178,-0.677,36.506,2.48,0.152,0.161,0.174,0.322,1.117,0.294,-1.098,-1.073
7.544,0.063,0.055,5.668,-0.568,-0.872,21.621,17.674,0.067,0.086,-0.384,0.172,0.559,-1.111,0.23,-0.223
5.971,0.054,0.063,6.644,-0.633,-1.13,17.27,9.118,0.022,0.111,-0.666,0.238,0.095,-0.179,-0.442,-0.277
24.635,0.162,0.156,19.672,0.64,-0.189,3.092,42.618,0.134,0.18,-0.065,0.349,-1.783,-1.822,1.378,-0.883
